Name:     Description:
subs      "Subs"
bsktball  "Basketball"
abaseb    "Atari Baseball (set 1)"
abaseb2   "Atari Baseball (set 2)"
soccer    "Atari Soccer"
missile   "Missile Command (set 1)"
missile2  "Missile Command (set 2)"
suprmatk  "Super Missile Attack"
llander   "Lunar Lander (rev 2)"
llander1  "Lunar Lander (rev 1)"
asteroid  "Asteroids (rev 2)"
asteroi1  "Asteroids (rev 1)"
asteroib  "Asteroids (bootleg on Lunar Lander hardware)"
astdelux  "Asteroids Deluxe (rev 2)"
astdelu1  "Asteroids Deluxe (rev 1)"
bzone     "Battle Zone (set 1)"
bzone2    "Battle Zone (set 2)"
bzonec    "Battle Zone (cocktail)"
redbaron  "Red Baron"
tempest   "Tempest (rev 3)"
tempest1  "Tempest (rev 1)"
tempest2  "Tempest (rev 2)"
temptube  "Tempest Tubes"
spacduel  "Space Duel"
gravitar  "Gravitar (version 3)"
gravitr2  "Gravitar (version 2)"
quantum   "Quantum (rev 2)"
quantum1  "Quantum (rev 1)"
quantump  "Quantum (prototype)"
bwidow    "Black Widow"
starwars  "Star Wars (rev 2)"
starwar1  "Star Wars (rev 1)"
mhavoc    "Major Havoc (rev 3)"
mhavoc2   "Major Havoc (rev 2)"
mhavocp   "Major Havoc (prototype)"
mhavocrv  "Major Havoc (Return to Vax)"
esb       "Empire Strikes Back, The"
warlord   "Warlords"
centiped  "Centipede (revision 3)"
centipd2  "Centipede (revision 2)"
centipdb  "Centipede (bootleg set 1)"
centipb2  "Centipede (bootleg set 2)"
milliped  "Millipede"
qwakprot  "Qwak (prototype)"
fnkyfish  "Funky Fish"
kangaroo  "Kangaroo"
kangaroa  "Kangaroo (Atari)"
kangarob  "Kangaroo (bootleg)"
arabian   "Arabian"
arabiana  "Arabian (Atari)"
liberatr  "Liberator (set 1)"
foodf     "Food Fight"
ccastles  "Crystal Castles (set 1)"
ccastle2  "Crystal Castles (set 2)"
cloak     "Cloak & Dagger"
cloud9    "Cloud 9 (prototype)"
jedi      "Return of the Jedi"
peterpak  "Peter Pack-Rat"
marble    "Marble Madness (set 1)"
marble2   "Marble Madness (set 2)"
marblea   "Marble Madness (set 3)"
indytemp  "Indiana Jones and the Temple of Doom (set 1)"
indytem2  "Indiana Jones and the Temple of Doom (set 2)"
indytem3  "Indiana Jones and the Temple of Doom (set 3)"
indytem4  "Indiana Jones and the Temple of Doom (set 4)"
indytemd  "Indiana Jones and the Temple of Doom (German)"
roadrunn  "Road Runner"
roadblst  "Road Blasters"
paperboy  "Paperboy"
ssprint   "Super Sprint"
csprint   "Championship Sprint"
720       "720 Degrees (set 1)"
720b      "720 Degrees (set 2)"
apb       "APB - All Points Bulletin (set 1)"
apb2      "APB - All Points Bulletin (set 2)"
irobot    "I, Robot"
harddriv  "Hard Drivin'"
stunrun   "S.T.U.N. Runner"
stunrnp   "S.T.U.N. Runner (prototype)"
gauntlet  "Gauntlet"
gauntir1  "Gauntlet (Intermediate Release 1)"
gauntir2  "Gauntlet (Intermediate Release 2)"
gaunt2p   "Gauntlet (2 Players)"
gaunt2    "Gauntlet II"
vindctr2  "Vindicators Part II"
xybots    "Xybots"
blstroid  "Blasteroids (version 4)"
blstroi2  "Blasteroids (version 2)"
blsthead  "Blasteroids (with heads)"
vindictr  "Vindicators"
toobin    "Toobin' (version 3)"
toobin2   "Toobin' (version 2)"
toobinp   "Toobin' (prototype)"
cyberbal  "Cyberball (Version 4)"
cyberba2  "Cyberball (Version 2)"
atetcktl  "Tetris (Cocktail set 1)"
atetckt2  "Tetris (Cocktail set 2)"
atetris   "Tetris (set 1)"
atetrisa  "Tetris (set 2)"
atetrisb  "Tetris (bootleg)"
eprom     "Escape from the Planet of the Robot Monsters (set 1)"
eprom2    "Escape from the Planet of the Robot Monsters (set 2)"
skullxbo  "Skull & Crossbones (set 1)"
skullxb2  "Skull & Crossbones (set 2)"
cyberbt   "Tournament Cyberball 2072"
badlands  "Bad Lands"
klax      "Klax (set 1)"
klax2     "Klax (set 2)"
klax3     "Klax (set 3)"
klaxj     "Klax (Japan)"
klaxd     "Klax (Germany)"
thunderj  "ThunderJaws"
cyberb2p  "Cyberball 2072 (2 player)"
hydra     "Hydra"
hydrap    "Hydra (prototype)"
pitfight  "Pit Fighter (version 4)"
pitfigh3  "Pit Fighter (version 3)"
rampart   "Rampart (3-player Trackball)"
ramprt2p  "Rampart (2-player Joystick)"
rampartj  "Rampart (Japan, 2-player Joystick)"
shuuz     "Shuuz (version 8.0)"
shuuz2    "Shuuz (version 7.1)"
batman    "Batman"
offtwall  "Off the Wall (2/3-player upright)"
offtwalc  "Off the Wall (2-player cocktail)"
relief    "Relief Pitcher (set 1)"
relief2   "Relief Pitcher (set 2)"
arcadecl  "Arcade Classics (prototype)"
sparkz    "Sparkz (prototype)"
beathead  "BeatHead (prototype)"
sasuke    "Sasuke vs. Commander"
satansat  "Satan of Saturn"
zarzon    "Zarzon"
vanguard  "Vanguard (SNK)"
vangrdce  "Vanguard (Centuri)"
fantasy   "Fantasy (US)"
fantasyj  "Fantasy (Japan)"
pballoon  "Pioneer Balloon"
nibbler   "Nibbler (set 1)"
nibblera  "Nibbler (set 2)"
lasso     "Lasso"
joyfulr   "Joyful Road (US)"
mnchmobl  "Munch Mobile (Japan)"
marvins   "Marvin's Maze"
madcrash  "Mad Crasher"
vangrd2   "Vanguard II"
sgladiat  "Gladiator 1984"
hal21     "HAL21"
hal21j    "HAL21 (Japan)"
aso       "ASO - Armored Scrum Object"
tnk3      "TNK III (US?)"
tnk3j     "Tank (Japan)"
athena    "Athena"
fitegolf  "Fighting Golf"
ikari     "Ikari Warriors (US)"
ikarijp   "Ikari Warriors (Japan)"
ikarijpb  "Ikari Warriors (Japan bootleg)"
victroad  "Victory Road"
dogosoke  "Dogou Souken"
gwar      "Guerrilla War (US)"
gwarj     "Guevara (Japan)"
gwara     "Guerrilla War (Version 1)"
gwarb     "Guerrilla War (bootleg)"
bermudat  "Bermuda Triangle (US)"
bermudaj  "Bermuda Triangle (Japan)"
bermudaa  "Bermuda Triangle (US early version)"
worldwar  "World Wars (Japan)"
psychos   "Psycho Soldier (US)"
psychosj  "Psycho Soldier (Japan)"
chopper   "Chopper I"
legofair  "Koukuu Kihei Monogatari - The Legend of Air Cavalry"
ftsoccer  "Fighting Soccer"
tdfever   "TouchDown Fever"
tdfeverj  "TouchDown Fever (Japan)"
ikari3    "Ikari III - The Rescue"
pow       "P.O.W. - Prisoners of War (US)"
powj      "Datsugoku - Prisoners of War (Japan)"
searchar  "SAR - Search And Rescue (World)"
sercharu  "SAR - Search And Rescue (US)"
streetsm  "Street Smart (US version 2)"
streets1  "Street Smart (US version 1)"
streetsw  "Street Smart (World version 1)"
streetsj  "Street Smart (Japan version 1)"
prehisle  "Prehistoric Isle in 1930 (World)"
prehislu  "Prehistoric Isle in 1930 (US)"
gensitou  "Genshi-Tou 1930's"
sstingry  "Super Stingray"
kyros     "Kyros"
timesold  "Time Soldiers (US Rev 3)"
timesol1  "Time Soldiers (US Rev 1)"
btlfield  "Battle Field (Japan)"
skysoldr  "Sky Soldiers (US)"
goldmedl  "Gold Medalist"
skyadvnt  "Sky Adventure (World)"
skyadvnu  "Sky Adventure (US)"
skyadvnj  "Sky Adventure (Japan)"
gangwars  "Gang Wars (US)"
gangwarb  "Gang Wars (bootleg)"
sbasebal  "Super Champion Baseball"
champbas  "Champion Baseball"
champbbj  "Champion Baseball (Japan)"
champbb2  "Champion Baseball II"
exctsccr  "Exciting Soccer"
exctscca  "Exciting Soccer (alternate music)"
exctsccb  "Exciting Soccer (bootleg)"
exctscc2  "Exciting Soccer II"
scregg    "Scrambled Egg"
eggs      "Eggs"
bigprowr  "Big Pro Wrestling!, The"
tagteam   "Tag Team Wrestling"
ssozumo   "Syusse Oozumou (Japan)"
mystston  "Mysterious Stones"
bogeyman  "Bogey Manor"
matmania  "Mat Mania"
excthour  "Exciting Hour"
maniach   "Mania Challenge (set 1)"
maniach2  "Mania Challenge (set 2)"
renegade  "Renegade (US)"
kuniokun  "Nekketsu Kouha Kunio-kun (Japan)"
kuniokub  "Nekketsu Kouha Kunio-kun (Japan bootleg)"
xsleena   "Xain'd Sleena"
xsleenab  "Xain'd Sleena (bootleg)"
solarwar  "Solar Warrior"
battlane  "Battle Lane Vol. 5 (set 1)"
battlan2  "Battle Lane Vol. 5 (set 2)"
battlan3  "Battle Lane Vol. 5 (set 3)"
ddragon   "Double Dragon (Japan)"
ddragonu  "Double Dragon (US)"
ddragonb  "Double Dragon (bootleg)"
spdodgeb  "Super Dodge Ball (US)"
nkdodgeb  "Nekketsu Koukou Dodgeball Bu (Japan bootleg)"
vball     "U.S. Championship V'ball (set 1)"
vball2pj  "U.S. Championship V'ball (Japan bootleg)"
ddragon2  "Double Dragon II - The Revenge"
ctribe    "Combatribes, The (US)"
ctribeb   "Combatribes, The (bootleg)"
blockout  "Block Out (set 1)"
blckout2  "Block Out (set 2)"
ddragon3  "Double Dragon 3 - The Rosetta Stone"
ddrago3b  "Double Dragon 3 - The Rosetta Stone (bootleg)"
berzerk   "Berzerk (set 1)"
berzerk1  "Berzerk (set 2)"
frenzy    "Frenzy"
megatack  "MegaTack"
killcom   "Killer Comet"
challeng  "Challenger"
kaos      "Kaos"
route16   "Route 16"
route16b  "Route 16 (bootleg)"
stratvox  "Stratovox"
stratvxb  "Stratovox (bootleg)"
speakres  "Speak & Rescue"
ttmahjng  "T.T. Mahjong"
sia2650   "Super Invader Attack"
tinv2650  "Invaders, The"
monymony  "Money Money"
jackrabt  "Jack Rabbit (set 1)"
jackrab2  "Jack Rabbit (set 2)"
jackrabs  "Jack Rabbit (special)"
nova2001  "Nova 2001 (Japan)"
nov2001u  "Nova 2001 (US)"
ninjakun  "Ninjakun Majou no Bouken"
pkunwar   "Penguin-Kun Wars (US)"
pkunwarj  "Penguin-Kun Wars (Japan)"
xxmissio  "XX Mission"
ninjakd2  "Ninja Kid II (set 1)"
ninjak2a  "Ninja Kid II (set 2)"
ninjak2b  "Ninja Kid II (set 3)"
rdaction  "Rad Action"
mnight    "Mutant Night"
arkarea   "Ark Area"
robokid   "Atomic Robokid"
robokidj  "Atomic Robokid (Japan)"
omegaf    "Omega Fighter"
omegafs   "Omega Fighter Special"
bioship   "Bio-ship Paladin"
strahl    "Strahl"
tdragon   "Thunder Dragon"
tdragonb  "Thunder Dragon (Bootleg)"
macross   "Macross"
gunnail   "GunNail"
macross2  "Macross II"
tdragon2  "Thunder Dragon 2"
sabotenb  "Saboten Bombers"
bjtwin    "Bombjack Twin"
nouryoku  "Nouryoku Koujou Iinkai"
narc      "Narc (rev 7.00)"
narc3     "Narc (rev 3.20)"
trog      "Trog (rev LA4 03/11/91)"
trog3     "Trog (rev LA3 02/14/91)"
trogp     "Trog (prototype, rev 4.00 07/27/90)"
smashtv   "Smash T.V. (rev 8.00)"
smashtv6  "Smash T.V. (rev 6.00)"
smashtv5  "Smash T.V. (rev 5.00)"
smashtv4  "Smash T.V. (rev 4.00)"
hiimpact  "High Impact Football (rev LA3 12/27/90)"
shimpact  "Super High Impact (rev LA1 09/30/91)"
strkforc  "Strike Force (rev 1 02/25/91)"
mk        "Mortal Kombat (rev 5.0 T-Unit 03/19/93)"
mkr4      "Mortal Kombat (rev 4.0 T-Unit 02/11/93)"
mkla1     "Mortal Kombat (rev 1.0 08/08/92)"
mkla2     "Mortal Kombat (rev 2.0 08/18/92)"
mkla3     "Mortal Kombat (rev 3.0 08/31/92)"
mkla4     "Mortal Kombat (rev 4.0 09/28/92)"
term2     "Terminator 2 - Judgment Day (rev LA3 03/27/92)"
totcarn   "Total Carnage (rev LA1 03/10/92)"
totcarnp  "Total Carnage (prototype, rev 1.0 01/25/92)"
mk2       "Mortal Kombat II (rev L3.1)"
mk2r32    "Mortal Kombat II (rev L3.2 (European))"
mk2r14    "Mortal Kombat II (rev L1.4)"
mk2r42    "Mortal Kombat II (rev L4.2, hack)"
mk2r91    "Mortal Kombat II (rev L9.1, hack)"
mk2chal   "Mortal Kombat II Challenger (hack)"
nbajam    "NBA Jam (rev 3.01 04/07/93)"
nbajamr2  "NBA Jam (rev 2.00 02/10/93)"
nbajamte  "NBA Jam TE (rev 4.0 03/23/94)"
nbajamt1  "NBA Jam TE (rev 1.0 01/17/94)"
nbajamt2  "NBA Jam TE (rev 2.0 01/28/94)"
nbajamt3  "NBA Jam TE (rev 3.0 03/04/94)"
mk3       "Mortal Kombat 3 (rev 2.1)"
mk3r20    "Mortal Kombat 3 (rev 2.0)"
mk3r10    "Mortal Kombat 3 (rev 1.0)"
umk3      "Ultimate Mortal Kombat 3 (rev 1.2)"
umk3r11   "Ultimate Mortal Kombat 3 (rev 1.1)"
wwfmania  "WWF: Wrestlemania (rev 1.30)"
openice   "2 On 2 Open Ice Challenge (rev 1.21)"
nbahangt  "NBA Hangtime (rev L1.1)"
nbamaxht  "NBA Maximum Hangtime (rev 1.0)"
rmpgwt    "Rampage: World Tour (rev 1.3)"
rmpgwt11  "Rampage: World Tour (rev 1.1)"
jack      "Jack the Giantkiller (set 1)"
jack2     "Jack the Giantkiller (set 2)"
jack3     "Jack the Giantkiller (set 3)"
treahunt  "Treasure Hunt (Japan?)"
zzyzzyxx  "Zzyzzyxx (set 1)"
zzyzzyx2  "Zzyzzyxx (set 2)"
brix      "Brix"
freeze    "Freeze"
sucasino  "Super Casino"
spacewar  "Space Wars"
barrier   "Barrier"
starcas   "Star Castle (version 3)"
starcas1  "Star Castle (older)"
tailg     "Tailgunner"
ripoff    "Rip Off"
armora    "Armor Attack"
wotw      "War of the Worlds"
warrior   "Warrior"
starhawk  "Star Hawk"
solarq    "Solar Quest"
boxingb   "Boxing Bugs"
speedfrk  "Speed Freak"
sundance  "Sundance"
demon     "Demon"
cchasm    "Cosmic Chasm (set 1)"
cchasm1   "Cosmic Chasm (set 2)"
roundup   "Round-Up"
fitter    "Fitter"
thepit    "Pit, The"
intrepid  "Intrepid (set 1)"
intrepi2  "Intrepid (set 2)"
portman   "Port Man"
funnymou  "Funny Mouse"
suprmous  "Super Mouse"
machomou  "Macho Mouse"
bagman    "Bagman"
bagnard   "Le Bagnard"
bagmans   "Bagman (Stern set 1)"
bagmans2  "Bagman (Stern set 2)"
sbagman   "Super Bagman"
sbagmans  "Super Bagman (Stern)"
pickin    "Pickin'"
stinger   "Stinger"
scion     "Scion"
scionc    "Scion (Cinematronics)"
wiz       "Wiz"
wizt      "Wiz (Taito)"
kncljoe   "Knuckle Joe (set 1)"
kncljoea  "Knuckle Joe (set 2)"
empcity   "Empire City: 1931 (bootleg?)"
empcityj  "Empire City: 1931 (Japan)"
stfight   "Street Fight (Germany)"
dynduke   "Dynamite Duke"
dbldyn    "Double Dynamites, The"
raiden    "Raiden"
raidena   "Raiden (Alternate Hardware)"
raidenk   "Raiden (Korea)"
dcon      "D-Con"
cabal     "Cabal (US set 1)"
cabal2    "Cabal (US set 2)"
cabalbl   "Cabal (bootleg)"
toki      "Toki (set 1)"
toki2     "Toki (set 2)"
toki3     "Toki (set 3)"
tokiu     "Toki (US)"
tokib     "Toki (bootleg)"
bloodbro  "Blood Bros."
weststry  "West Story"
exerion   "Exerion"
exeriont  "Exerion (Taito)"
exerionb  "Exerion (bootleg)"
formatz   "Formation Z"
aeroboto  "Aeroboto"
citycon   "City Connection (set 1)"
citycona  "City Connection (set 2)"
cruisin   "Cruisin"
pinbo     "Pinbo"
pinbos    "Pinbo (Strike)"
momoko    "Momoko 120%"
argus     "Argus"
valtric   "Valtric"
butasan   "Butasan (Japan)"
psychic5  "Psychic 5"
ginganin  "Ginga NinkyouDen"
skyfox    "Sky Fox"
exerizrb  "Exerizer (Japan) (bootleg)"
cischeat  "Cisco Heat"
f1gpstar  "F1 Grand Prix Star"
scudhamm  "Scud Hammer"
tetrisp2  "Tetris Plus 2 (World?)"
teplus2j  "Tetris Plus 2 (Japan)"
lomakai   "Legend of Makai (World)"
makaiden  "Makai Densetsu (Japan)"
p47       "P-47 - The Phantom Fighter (World)"
p47j      "P-47 - The Freedom Fighter (Japan)"
kickoff   "Kick Off (Japan)"
tshingen  "Takeda Shingen (Japan)"
iganinju  "Iga Ninjyutsuden (Japan)"
astyanax  "Astyanax, The"
lordofk   "Lord of King, The (Japan)"
hachoo    "Hachoo!"
plusalph  "Plus Alpha"
stdragon  "Saint Dragon"
rodland   "Rod-Land (World)"
rodlandj  "Rod-Land (Japan)"
rodlndjb  "Rod-Land (Japan bootleg)"
avspirit  "Avenging Spirit"
phantasm  "Phantasm (Japan)"
edf       "Earth Defense Force"
64street  "64th. Street - A Detective Story (World)"
64streej  "64th. Street - A Detective Story (Japan)"
soldamj   "Soldam (Japan)"
bigstrik  "Big Striker"
chimerab  "Chimera Beast"
cybattlr  "Cybattler"
peekaboo  "Peek-a-Boo!"
rabiolep  "Rabio Lepus (Japan)"
rpunch    "Rabbit Punch (US)"
svolley   "Super Volleyball (Japan)"
svolleyk  "Super Volleyball (Korea)"
tail2nos  "Tail to Nose - Great Championship"
sformula  "Super Formula (Japan)"
pipedrm   "Pipe Dream (US)"
pipedrmj  "Pipe Dream (Japan)"
hatris    "Hatris (Japan)"
pspikes   "Power Spikes (Korea)"
svolly91  "Super Volley '91 (Japan)"
karatblz  "Karate Blazers (World?)"
karatblu  "Karate Blazers (US)"
spinlbrk  "Spinal Breakers (World)"
spinlbru  "Spinal Breakers (US)"
spinlbrj  "Spinal Breakers (Japan)"
turbofrc  "Turbo Force"
aerofgt   "Aero Fighters"
aerofgtb  "Aero Fighters (Turbo Force hardware set 1)"
aerofgtc  "Aero Fighters (Turbo Force hardware set 2)"
sonicwi   "Sonic Wings (Japan)"
sngkace   "Sengoku Ace (Japan)"
gunbird   "Gun Bird (Japan)"
btlkrodj  "Battle K-Road (Japan)"
marineb   "Marine Boy"
changes   "Changes"
looper    "Looper"
springer  "Springer"
hoccer    "Hoccer (set 1)"
hoccer2   "Hoccer (set 2)"
bcruzm12  "Battle Cruiser M12"
hopprobo  "Hopper Robo"
wanted    "Wanted"
funkybee  "Funky Bee"
skylancr  "Sky Lancer"
zodiack   "Zodiack"
dogfight  "Dog Fight"
moguchan  "Moguchan"
percuss   "Percussor, The"
bounty    "Bounty, The"
espial    "Espial (US?)"
espiale   "Espial (Europe)"
vastar    "Vastar (set 1)"
vastar2   "Vastar (set 2)"
bigkarnk  "Big Karnak"
splash    "Splash!"
biomtoy   "Biomechanical Toy (unprotected)"
berlwall  "Berlin Wall, The (set 1)"
berlwalt  "Berlin Wall, The (set 2)"
blazeon   "Blaze On (Japan)"
gtmr      "Great 1000 Miles Rally"
gtmre     "Great 1000 Miles Rally (Evolution Model)"
galpanic  "Gals Panic"
airbustr  "Air Buster (Japan)"
hanaawas  "Hana Awase (Flower Matching)"
tndrcade  "Thundercade / Twin Formation"
tndrcadj  "Tokusyu Butai UAG (Japan)"
twineagl  "Twin Eagle - Revenge Joe's Brother (Japan)"
downtown  "DownTown"
usclssic  "U.S. Classic"
calibr50  "Caliber 50"
drgnunit  "Dragon Unit / Castle of Dragon"
arbalest  "Arbalester"
metafox   "Meta Fox"
thunderl  "Thunder & Lightning"
rezon     "Rezon"
stg       "Strike Gunner S.T.G"
blandia   "Blandia (prototype)"
blockcar  "Block Carnival / Thunder & Lightning 2"
qzkklogy  "Quiz Kokology"
zingzip   "Zing Zing Zip"
atehate   "Athena no Hatena ?"
msgundam  "Mobile Suit Gundam"
oisipuzl  "Oishii Puzzle Ha Irimasenka"
wrofaero  "War of Aero - Project MEIOU"
eightfrc  "Eight Forces"
kiwame    "Pro Mahjong Kiwame"
krzybowl  "Krazy Bowl"
powerins  "Power Instinct (USA) [bootleg]"
ohmygod   "Oh My God! (Japan)"
naname    "Naname de Magic! (Japan)"
blmbycar  "Blomby Car"
shanghai  "Shanghai (Japan)"
shangha2  "Shanghai II (Japan)"
shangha3  "Shanghai III (Japan)"
heberpop  "Hebereke no Popoon (Japan)"
blocken   "Blocken (Japan)"
goindol   "Goindol"
rranger   "Rough Ranger (v2.0, Sharp Image license)"
hardhead  "Hard Head"
hardheab  "Hard Head (bootleg)"
bssoccer  "Back Street Soccer"
uballoon  "Ultra Balloon"
gundealr  "Gun Dealer (set 1)"
gundeala  "Gun Dealer (set 2)"
gundealt  "Gun Dealer (Tecmo)"
yamyam    "Yam! Yam!?"
wiseguy   "Wise Guy"
lastday   "Last Day, The (set 1)"
lastdaya  "Last Day, The (set 2)"
pollux    "Pollux"
bluehawk  "Blue Hawk"
sadari    "Sadari"
primella  "Primella"
rshark    "R-Shark"
leprechn  "Leprechaun"
potogold  "Pot of Gold"
beezer    "Beezer (set 1)"
beezer1   "Beezer (set 2)"
pushman   "Pushman"
zerozone  "Zero Zone"
hotpinbl  "Hot Pinball"
galspnbl  "Gals Pinball"
fantasia  "Fantasia"
newfant   "New Fantasia"
missw96   "Miss World '96 Nude"
bigtwin   "Big Twin"
wbeachvl  "World Beach Volley"
sharkatt  "Shark Attack"
thief     "Thief"
natodef   "NATO Defense"
natodefa  "NATO Defense (alternate mazes)"
mrflea    "Mr. F. Lea"
holeland  "Hole Land"
speedbal  "Speed Ball"
sauro     "Sauro"
karatour  "Karate Tournament, The"
ladykill  "Moeyo Gonta!! (Japan)"
pangpoms  "Pang Poms"
pangpomm  "Pang Poms (Mitchell)"
skyalert  "Sky Alert"
poitto    "Poitto!"
dharma    "Dharma Doujou"
lastfort  "Last Fortress - Toride"
lastfero  "Last Fortress - Toride (Erotic)"
toride2g  "Toride II Adauchi Gaiden"
daitorid  "Dai Toride"
puzzli    "Puzzli"
pururun   "Pururun"
balcube   "Bal Cube"
mouja     "Mouja (Japan)"
blzntrnd  "Blazing Tornado"
meteor    "Meteoroids"
looping   "Looping (set 1)"
loopinga  "Looping (set 2)"
skybump   "Sky Bumper"
cannball  "Cannon Ball"
magix     "Magix / Rock"
shocking  "Shocking"
blueprnt  "Blue Print (Midway)"
blueprnj  "Blue Print (Jaleco)"
saturn    "Saturn"
spacefb   "Space Firebird (Nintendo)"
spacefbg  "Space Firebird (Gremlin)"
spacefbb  "Space Firebird (bootleg)"
spacebrd  "Space Bird (bootleg)"
spacedem  "Space Demon"
omegrace  "Omega Race"
dday      "D-Day"
ddayc     "D-Day (Centuri)"
hexa      "Hexa"
spiders   "Spiders (set 1)"
spiders2  "Spiders (set 2)"
stactics  "Space Tactics"
exterm    "Exterminator"
kingofb   "King of Boxer (English)"
ringking  "Ring King (set 1)"
ringkin2  "Ring King (set 2)"
ringkin3  "Ring King (set 3)"
ambush    "Ambush"
starcrus  "Star Cruiser"
homo      "Homo"
aztarac   "Aztarac"
mole      "Mole Attack"
gotya     "Got-Ya (12/24/1981, prototype?)"
mrjong    "Mr. Jong (Japan)"
crazyblk  "Crazy Blocks"
polyplay  "Poly-Play"
mermaid   "Mermaid"
royalmah  "Royal Mahjong"
amspdwy   "American Speedway (set 1)"
amspdwya  "American Speedway (set 2)"
dynamski  "Dynamic Ski"
chinhero  "Chinese Hero"
shangkid  "Shanghai Kid (Japan)"
othldrby  "Othello Derby (Japan)"
pbancho   "Gyakuten!! Puzzle Bancho (Japan)"
nam1975   "NAM-1975"
bstars    "Baseball Stars Professional"
tpgolf    "Top Player's Golf"
mahretsu  "Mahjong Kyoretsuden"
maglord   "Magician Lord (set 1)"
maglordh  "Magician Lord (set 2)"
ridhero   "Riding Hero (set 1)"
ridheroh  "Riding Hero (set 2)"
alpham2   "Alpha Mission II / ASO II - Last Guardian"
ncombat   "Ninja Combat"
cyberlip  "Cyber-Lip"
superspy  "Super Spy, The"
mutnat    "Mutation Nation"
kotm      "King of the Monsters"
sengoku   "Sengoku / Sengoku Denshou (set 1)"
sengokh   "Sengoku / Sengoku Denshou (set 2)"
burningf  "Burning Fight (set 1)"
burningh  "Burning Fight (set 2)"
lbowling  "League Bowling"
gpilots   "Ghost Pilots"
joyjoy    "Puzzled / Joy Joy Kid"
bjourney  "Blue's Journey / Raguy"
quizdais  "Quiz Daisousa Sen - The Last Count Down"
lresort   "Last Resort"
eightman  "Eight Man"
minasan   "Minnasanno Okagesamadesu"
legendos  "Legend of Success Joe / Ashitano Joe Densetsu"
2020bb    "2020 Super Baseball (set 1)"
2020bbh   "2020 Super Baseball (set 2)"
socbrawl  "Soccer Brawl"
roboarmy  "Robo Army"
fatfury1  "Fatal Fury - King of Fighters / Garou Densetsu - shukumei no tatakai"
fbfrenzy  "Football Frenzy"
bakatono  "Bakatonosama Mahjong Manyuki"
crsword   "Crossed Swords"
trally    "Thrash Rally"
kotm2     "King of the Monsters 2 - The Next Thing"
sengoku2  "Sengoku 2 / Sengoku Denshou 2"
bstars2   "Baseball Stars 2"
quizdai2  "Quiz Meintantei Neo Geo - Quiz Daisousa Sen Part 2"
3countb   "3 Count Bout / Fire Suplex"
aof       "Art of Fighting / Ryuuko no Ken"
samsho    "Samurai Shodown / Samurai Spirits"
tophuntr  "Top Hunter - Roddy & Cathy"
fatfury2  "Fatal Fury 2 / Garou Densetsu 2 - arata-naru tatakai"
janshin   "Jyanshin Densetsu - Quest of Jongmaster"
androdun  "Andro Dunos"
ncommand  "Ninja Commando"
viewpoin  "Viewpoint"
ssideki   "Super Sidekicks / Tokuten Ou"
wh1       "World Heroes"
kof94     "King of Fighters '94, The"
aof2      "Art of Fighting 2 / Ryuuko no Ken 2"
wh2       "World Heroes 2"
fatfursp  "Fatal Fury Special / Garou Densetsu Special"
savagere  "Savage Reign / Fu'un Mokushiroku - kakutou sousei"
fightfev  "Fight Fever / Crystal Legacy"
ssideki2  "Super Sidekicks 2 - The World Championship / Tokuten Ou 2 - real fight football"
spinmast  "Spinmaster / Miracle Adventure"
samsho2   "Samurai Shodown II / Shin Samurai Spirits - Haohmaru jigokuhen"
wh2j      "World Heroes 2 Jet"
wjammers  "Windjammers / Flying Power Disc"
karnovr   "Karnov's Revenge / Fighter's History Dynamite"
gururin   "Gururin"
pspikes2  "Power Spikes II"
fatfury3  "Fatal Fury 3 - Road to the Final Victory / Garou Densetsu 3 - haruka-naru tatakai"
panicbom  "Panic Bomber"
aodk      "Aggressors of Dark Kombat / Tsuukai GANGAN Koushinkyoku"
sonicwi2  "Aero Fighters 2 / Sonic Wings 2"
zedblade  "Zed Blade / Operation Ragnarok"
galaxyfg  "Galaxy Fight - Universal Warriors"
strhoop   "Street Hoop / Street Slam / Dunk Dream"
quizkof   "Quiz King of Fighters"
ssideki3  "Super Sidekicks 3 - The Next Glory / Tokuten Ou 3 - eikoue no michi"
doubledr  "Double Dragon (Neo-Geo)"
pbobble   "Puzzle Bobble / Bust-A-Move (Neo-Geo)"
kof95     "King of Fighters '95, The"
tws96     "Tecmo World Soccer '96"
samsho3   "Samurai Shodown III / Samurai Spirits - Zankurou Musouken"
stakwin   "Stakes Winner / Stakes Winner - GI kinzen seihae no michi"
pulstar   "Pulstar"
whp       "World Heroes Perfect"
kabukikl  "Kabuki Klash - Far East of Eden / Tengai Makyou Shinden - Far East of Eden"
neobombe  "Neo Bomberman"
gowcaizr  "Voltage Fighter - Gowcaizer / Choujin Gakuen Gowcaizer"
rbff1     "Real Bout Fatal Fury / Real Bout Garou Densetsu"
aof3      "Art of Fighting 3 - The Path of the Warrior / Art of Fighting - Ryuuko no Ken Gaiden"
sonicwi3  "Aero Fighters 3 / Sonic Wings 3"
turfmast  "Neo Turf Masters / Big Tournament Golf"
mslug     "Metal Slug - Super Vehicle-001"
puzzledp  "Puzzle De Pon"
mosyougi  "Syougi No Tatsujin - Master of Syougi"
marukodq  "Chibi Marukochan Deluxe Quiz"
neomrdo   "Neo Mr. Do!"
sdodgeb   "Super Dodge Ball / Kunio no Nekketsu Toukyuu Densetsu"
goalx3    "Goal! Goal! Goal!"
overtop   "Over Top"
